,titulo,preco,p_l,n_acoes,patrimonio,p_vp,ebit,roe,roic,liquidez
411,KROT4,"5,12","16,29",1.644.250.000,16.062.500.000,"0,52","12,4%","3,2%","2,7%","1,76"
412,LAME3,"15,15","63,97",1.605.380.000,4.851.110.000,"5,01","10,9%","7,8%","12,1%","2,15"
413,KSSA3,"5,33","14,66",145.706.000,553.026.000,"1,40","16,3%","9,6%","7,7%","1,47"
414,KROT11,"40,00","18,18",1.644.250.000,16.062.500.000,"0,58","12,4%","3,2%","2,7%","1,76"
415,KLBN4,"3,41","19,46",5.409.800.000,5.973.560.000,"3,09","24,1%","15,9%","10,7%","5,11"
416,KLBN11,"17,55","20,03",5.409.800.000,5.973.560.000,"3,18","24,1%","15,9%","10,7%","5,11"
417,KEPL3,"23,40","13,62",26.312.000,456.590.000,"1,35","9,4%","9,9%","9,8%","1,76"
418,JSLG3,"20,70","22,42",206.786.000,1.290.550.000,"3,32","11,9%","14,8%","9,0%","1,85"
419,KLBN3,"3,92","22,37",5.409.800.000,5.973.560.000,"3,55","24,1%","15,9%","10,7%","5,11"
420,JOPA4,"24,50","104,37",10.582.000,494.790.000,"0,52","1,7%","0,5%","1,4%","2,09"
421,JHSF3,"5,24","15,04",530.060.000,2.313.410.000,"1,20","22,2%","8,0%","2,7%","1,03"
422,JFEN3,"1,51","-0,39",105.204.000,336.159.000,"0,47","-149,2%","-120,9%","-8,8%","1,52"
423,JPSA3,"31,89","25,40",87.889.000,1.519.490.000,"1,84","51,6%","7,3%","8,2%","3,94"
424,JOPA3,"24,00","102,24",10.582.000,494.790.000,"0,51","1,7%","0,5%","1,4%","2,09"
425,JFAB4,"0,06","0,00",0,-10.183.000,"0,00",-,"2,3%",-,-
426,JBDU4,"1,86","0,56",5.019.000,14.496.000,"0,64",-,"114,7%",-,-
427,JBDU3,"3,34","1,01",5.019.000,14.496.000,"1,16",-,"114,7%",-,-
428,JBSS3,"26,23","17,06",2.728.750.000,30.703.700.000,"2,33","5,9%","13,7%","11,4%","1,51"
429,IVTT3,"0,00","0,00",62.141.400,1.083.050.000,"0,00",-,"-0,4%",-,-
430,ITSA4,"13,63","12,24",8.410.810.000,52.130.000.000,"2,20","4,2%","18,0%","0,3%","1,82"
431,ITSA3,"13,70","12,30",8.410.810.000,52.130.000.000,"2,21","4,2%","18,0%","0,3%","1,82"
432,ITUB4,"35,68","13,93",9.804.140.000,125.769.000.000,"2,78",-,"20,0%",-,-
433,IRBR3,"37,45","0,00",936.000.000,0,"0,00",-,-,-,-
434,ITUB3,"30,89","12,06",9.804.140.000,125.769.000.000,"2,41",-,"20,0%",-,-
435,INEP3,"7,25","-0,16",7.969.190,-1.682.970.000,"-0,03","-420,4%","21,2%","-16,8%","0,13"
436,ITEC3,"40,10","-35,12",11.072.000,20.143.000,"22,04","-10.044,7%","-62,8%","-63,1%","5,23"
437,INEP4,"7,97","-0,18",7.969.190,-1.682.970.000,"-0,04","-420,4%","21,2%","-16,8%","0,13"
438,INHA3,"0,00","0,00",120.000.000,780.159.000,"0,00","0,3%","-45,9%","0,1%","1,45"
439,IMCH3,"6,39","41,83",84.483.000,920.589.000,"0,59","2,7%","1,4%","2,6%","0,82"
440,IMBI3,"5,01","-46,42",35.029.000,62.544.000,"2,81","-2.737,9%","-6,0%","-0,5%","0,05"
441,ILMD4,"30,00","16,28",59.667.000,658.715.000,"2,72","4,8%","16,7%","12,5%","1,60"
442,IMBI4,"3,50","-32,43",35.029.000,62.544.000,"1,96","-2.737,9%","-6,0%","-0,5%","0,05"
443,ILMD3,"29,00","15,73",59.667.000,658.715.000,"2,63","4,8%","16,7%","12,5%","1,60"
444,IGUA6,"8,07","-12,40",29.053.000,-164.188.000,"-1,43","6,9%","11,5%","7,6%","0,34"
445,IGUA5,"7,98","-12,26",29.053.000,-164.188.000,"-1,41","6,9%","11,5%","7,6%","0,34"
446,ILLS4,"100,01","0,00",0,-18.567.000,"0,00","8,4%","36,1%","8,1%","0,50"
447,IGUA3,"8,15","-12,52",29.053.000,-164.188.000,"-1,44","6,9%","11,5%","7,6%","0,34"
448,IGTA3,"46,49","29,92",176.612.000,2.949.110.000,"2,78","54,7%","9,3%","8,8%","4,19"
449,IGBR6,"19,00","-5,55",12.505.000,-861.333.000,"-0,28","-277,1%","5,0%","-4,7%","0,04"
450,IGBR5,"18,90","-5,52",12.505.000,-861.333.000,"-0,27","-277,1%","5,0%","-4,7%","0,04"
451,IGBR3,"2,27","-0,66",12.505.000,-861.333.000,"-0,03","-277,1%","5,0%","-4,7%","0,04"
452,IENG5,"0,12","-0,65",344.209.000,52.234.000,"0,79","44,3%","-122,4%","2,8%","0,85"
453,IENG3,"0,15","-0,81",344.209.000,52.234.000,"0,99","44,3%","-122,4%","2,8%","0,85"
454,IDVL3,"3,00","4,51",86.798.800,399.193.000,"0,65",-,"14,5%",-,-
455,ICPI3,"0,00","0,00",0,0,"0,00",-,-,-,-
456,IDVL4,"3,66","5,51",86.798.800,399.193.000,"0,80",-,"14,5%",-,-
457,IDNT3,"2,64","2,55",16.344.000,20.705.000,"2,08",-,"81,6%",-,-
458,IDVL11,"140,00","210,61",86.798.800,399.193.000,"30,44",-,"14,5%",-,-
459,HYPE3,"34,57","17,70",632.238.000,8.641.610.000,"2,53","18,5%","14,3%","6,6%","2,73"
460,HOOT4,"2,10","-0,61",18.372.000,-250.296.000,"-0,15","-53,1%","25,1%","-6,4%","0,04"
461,HGTX4,"9,60","6,32",162.534.000,1.382.520.000,"1,13","14,6%","17,9%","18,0%","3,16"
462,HGTX3,"32,26","21,23",162.534.000,1.382.520.000,"3,79","14,6%","17,9%","18,0%","3,16"
463,HETA3,"4,01","0,47",510.000,-383.060.000,"-0,01","66,4%","-1,1%","7,5%","0,02"
464,HBTS5,"12,50","-1,78",9.133.690,228.113.000,"0,50","2.246,5%","-28,0%","-7,6%","0,55"
465,HBOR3,"3,58","-19,50",669.255.000,743.035.000,"3,22","-2,9%","-16,5%","-0,9%","2,28"
