,titulo,preco,p_l,n_acoes,patrimonio,p_vp,ebit,roe,roic,liquidez
561,EKTR4,"21,48","11,23",193.759.000,2.614.100.000,"1,59","13,3%","14,2%","9,7%","1,66"
562,EKTR3,"20,00","10,45",193.759.000,2.614.100.000,"1,48","13,3%","14,2%","9,7%","1,66"
563,EEEL4,"350,00","10,12",9.681.000,2.662.330.000,"1,27","36,0%","12,6%","8,3%","3,02"
564,EGIE3,"44,32","14,74",815.928.000,7.567.780.000,"4,78","41,0%","32,4%","14,9%","1,35"
565,EEEL3,"300,00","8,68",9.681.000,2.662.330.000,"1,09","36,0%","12,6%","8,3%","3,02"
566,ECPR4,"84,98","8,23",1.900.000,195.042.000,"0,83",-,"10,1%",-,-
567,ECOR3,"14,62","-39,69",558.699.000,375.633.000,"21,75","30,9%","-54,8%","12,0%","0,72"
568,ECPR3,"69,99","6,78",1.900.000,195.042.000,"0,68",-,"10,1%",-,-
569,ECIS4,"145,00","0,00",0,129.346.000,"0,00","34,9%","7,3%","12,5%","1,38"
570,ECIS3,"211,65","0,00",0,129.346.000,"0,00","34,9%","7,3%","12,5%","1,38"
571,EBTP3,"10,21","-43,56",1.231.360.000.000,10.782.200.000,"1,17","8,5%","-2,7%","6,0%","0,99"
572,EBTP4,"10,00","-42,66",1.231.360.000.000,10.782.200.000,"1,14","8,5%","-2,7%","6,0%","0,99"
573,EBEN4,"17,51","2,29",39.091.700.000,1.308.460.000,"0,52","12,4%","22,8%","15,4%","1,37"
574,EALT4,"5,10","6,50",22.500.000,165.525.000,"0,69","7,4%","10,7%","6,4%","1,15"
575,EBCO4,"1,00","11,46",664.727.000,828.097.000,"0,80","3,9%","7,0%","5,0%","1,01"
576,EBCO3,"1,05","12,03",664.727.000,828.097.000,"0,84","3,9%","7,0%","5,0%","1,01"
577,EALT3,"14,90","18,99",22.500.000,165.525.000,"2,03","7,4%","10,7%","6,4%","1,15"
578,DXTG4,"3,68","13,02",274.810.000,768.999.000,"1,32","10,8%","10,1%","12,3%","2,77"
579,DURA3,"31,90","16,62",126.695.000,1.789.980.000,"2,26","21,6%","13,6%","14,4%","1,27"
580,DUQE4,"2,95","-0,17",2.816.000,-6.987.000,"-1,19","-732,9%","715,7%","-28,2%","0,33"
581,DUQE3,"28,00","-1,58",2.816.000,-6.987.000,"-11,29","-732,9%","715,7%","-28,2%","0,33"
582,DUFB11,"0,00","0,00",6.954.000,0,"0,00",-,-,-,-
583,DURA4,"31,39","16,35",126.695.000,1.789.980.000,"2,22","21,6%","13,6%","14,4%","1,27"
584,DTEX3,"13,11","-428,83",691.785.000,4.765.100.000,"1,90","7,1%","-0,4%","3,6%","1,52"
585,DTCY3,"4,60","-20,56",7.789.000,-882.000,"-40,62","9,9%","197,6%","4,9%","0,37"
586,DPPI3,"85,00","16,65",32.000.000,545.227.000,"4,99","-0,8%","30,0%","3,0%","3,14"
587,DSUL3,"7,95","5,65",28.975.000,236.447.000,"0,97","37,1%","17,2%","48,9%","3,50"
588,DPPI4,"38,90","7,62",32.000.000,545.227.000,"2,28","-0,8%","30,0%","3,0%","3,14"
589,DOHL4,"7,70","42,32",60.516.000,575.310.000,"0,81","2,4%","1,9%","1,8%","5,57"
590,DOHL3,"8,20","45,06",60.516.000,575.310.000,"0,86","2,4%","1,9%","1,8%","5,57"
591,DOCA3,"11,00","-0,40",1.159.040,-390.317.000,"-0,03","1.165,9%","8,2%","-12,5%","0,61"
592,DOCA4,"5,00","-0,18",1.159.040,-390.317.000,"-0,01","1.165,9%","8,2%","-12,5%","0,61"
593,DJON4,"0,18","-1,70",3.271.000.000,2.702.000,"0,22","67,4%","-12,8%","-12,0%","0,24"
594,DMMO3,"8,49","-5,10",270.040.000,-474.698.000,"-4,83","4,3%","94,7%","1,7%","0,54"
595,DIRR3,"11,90","20,18",153.399.000,1.302.000.000,"1,40","14,9%","6,9%","5,9%","4,72"
596,DFVA4,"8,00","-25,35",7.172.000,1.170.000,"49,04","-7,7%","-193,4%","-10,4%","1,33"
597,DHBI4,"1,01","-0,04",4.197.000,-456.340.000,"-0,01","-23,6%","21,0%","-10,5%","0,12"
598,DHBI3,"19,00","-0,83",4.197.000,-456.340.000,"-0,17","-23,6%","21,0%","-10,5%","0,12"
599,DFVA3,"9,90","-31,38",7.172.000,1.170.000,"60,69","-7,7%","-193,4%","-10,4%","1,33"
600,DAGB33,"375,00","71,75",53.871.700,12.597.300.000,"1,60","5,4%","2,2%","5,0%","1,17"
601,DAYC4,"8,90","4,12",241.464.000,3.009.030.000,"0,71",-,"17,3%",-,-
602,DAYC3,"0,00","0,00",241.464.000,3.009.030.000,"0,00",-,"17,3%",-,-
603,DASA3,"45,00","111,60",315.054.000,3.569.130.000,"3,97","8,5%","3,6%","4,6%","1,52"
604,CZRS4,"2,49","8,89",136.727.000,1.145.670.000,"0,30",-,"3,3%",-,-
605,CZLT33,"29,23","11,24",270.687.000,5.691.680.000,"1,39","17,0%","12,4%","5,3%","1,58"
606,CZRS3,"0,00","0,00",136.727.000,1.145.670.000,"0,00",-,"3,3%",-,-
607,CYRE4,"8,50","8,88",399.743.000,5.112.190.000,"0,66","10,5%","7,5%","5,1%","2,88"
608,CYRE3,"27,37","28,59",399.743.000,5.112.190.000,"2,14","10,5%","7,5%","5,1%","2,88"
609,CTWR3,"100,00","9,76",499.000,879.000,"56,77","-3,0%","581,9%","-21,9%","1,45"
610,CVCB3,"40,66","25,10",149.082.000,1.370.930.000,"4,42","35,6%","17,6%","12,2%","1,49"
611,CTSA3,"5,04","3,23",39.299.000,286.680.000,"0,69","8,0%","21,4%","6,5%","1,21"
612,CTSA4,"5,80","3,71",39.299.000,286.680.000,"0,80","8,0%","21,4%","6,5%","1,21"
613,CTSA8,"1,00","0,64",39.299.000,286.680.000,"0,14","8,0%","21,4%","6,5%","1,21"
614,CTPC4,"6,50","2,48",12.981.000,2.411.000,"0,03",-,"1,4%",-,-
615,CTPC3,"0,20","76,36",12.981.000,2.411.000,"1,08",-,"1,4%",-,-
616,CTNM4,"9,06","2,74",30.636.000,1.028.930.000,"0,27","30,7%","9,8%","9,3%","1,18"
617,CTKA4,"12,50","-0,96",6.205.000,-335.439.000,"-0,23","7,1%","24,0%","7,1%","0,32"
618,CTNM3,"10,50","3,17",30.636.000,1.028.930.000,"0,31","30,7%","9,8%","9,3%","1,18"
619,CTIP3,"49,50","35,13",262.979.000,1.486.250.000,"8,76","39,0%","24,9%","24,6%","0,85"
620,CTKA3,"13,00","-1,00",6.205.000,-335.439.000,"-0,24","7,1%","24,0%","7,1%","0,32"
621,CSTB4,"147,69","0,00",0,8.420.670.000,"0,00","40,8%","20,1%","22,4%","2,60"
622,CSRN6,"17,06","18,43",168.074.000,1.002.440.000,"2,86","12,9%","15,5%","7,0%","1,72"
623,CSTB3,"150,00","0,00",0,8.420.670.000,"0,00","40,8%","20,1%","22,4%","2,60"
624,CSRN5,"18,00","19,45",168.074.000,1.002.440.000,"3,02","12,9%","15,5%","7,0%","1,72"
625,CSNA3,"11,44","6,44",1.387.520.000,8.838.390.000,"1,80","21,6%","27,9%","12,0%","1,06"
626,CSPC4,"1,20","0,00",0,2.126.670.000,"0,00","38,6%","45,3%","29,2%","1,43"
627,CSPC3,"1,24","0,00",0,2.126.670.000,"0,00","38,6%","45,3%","29,2%","1,43"
628,CSRN3,"18,49","19,98",168.074.000,1.002.440.000,"3,10","12,9%","15,5%","7,0%","1,72"
629,CSAB4,"43,51","0,00",7.680.000,0,"0,00",-,-,-,-
630,CSAN3,"60,80","10,97",394.210.000,9.587.870.000,"2,50","11,4%","22,8%","5,6%","1,75"
631,CSAB3,"49,90","0,00",7.680.000,0,"0,00",-,-,-,-
632,CSMG3,"64,45","12,07",126.751.000,6.609.220.000,"1,24","23,4%","10,2%","10,9%","1,63"
633,CRTP5,"62,10","15,98",33.281.000,1.210.570.000,"1,71","12,4%","10,7%","12,4%","2,14"
634,CRUZ3,"27,59","25,31",1.528.450.000,1.877.350.000,"22,46","31,9%","88,8%","46,8%","1,19"
635,CRTP3,"86,50","22,26",33.281.000,1.210.570.000,"2,38","12,4%","10,7%","12,4%","2,14"
636,CRPG5,"22,00","4,78",29.019.000,582.094.000,"1,10","16,7%","22,9%","18,8%","9,16"
637,CRPG6,"22,37","4,86",29.019.000,582.094.000,"1,12","16,7%","22,9%","18,8%","9,16"
638,CRPG3,"29,00","6,30",29.019.000,582.094.000,"1,45","16,7%","22,9%","18,8%","9,16"
639,CRIV4,"7,30","10,43",102.943.000,942.527.000,"0,80",-,"7,6%",-,-
640,CRIV3,"5,95","8,50",102.943.000,942.527.000,"0,65",-,"7,6%",-,-
641,CRFB3,"18,17","35,59",1.984.140.000,12.866.000.000,"2,80","6,4%","7,9%","12,4%","1,03"
642,CREM3,"14,50","32,69",32.077.000,189.701.000,"2,45","8,0%","7,5%","11,4%","1,29"
643,CREM4,"48,00","0,11",32.077.000,189.701.000,"0,01","8,0%","7,5%","11,4%","1,29"
644,CRDE3,"22,80","-4,37",2.422.000,158.573.000,"0,35","-40,4%","-8,0%","-8,2%","5,61"
645,CRBM7,"60,00","-19,30",30.009.000,827.347.000,"2,18","-9,7%","-11,3%","-12,7%","2,24"
646,CRBM3,"90,00","-28,95",30.009.000,827.347.000,"3,26","-9,7%","-11,3%","-12,7%","2,24"
647,CPSL3,"38,02","8,56",150.217.000,1.634.730.000,"3,49","13,6%","40,8%","57,1%","1,89"
648,CPRE3,"17,43","102,38",521.315.000,4.432.400.000,"2,05","46,8%","2,0%","8,1%","0,91"
649,CPNY3,"2,35","-11,00",72.006.100,398.830.000,"0,42","19,1%","-3,9%","5,5%","2,26"
650,CPLE6,"58,90","9,00",273.655.000,17.451.900.000,"0,92","21,5%","10,3%","10,1%","1,39"
651,CPLE5,"27,51","4,20",273.655.000,17.451.900.000,"0,43","21,5%","10,3%","10,1%","1,39"
652,CPLE3,"61,06","9,33",273.655.000,17.451.900.000,"0,96","21,5%","10,3%","10,1%","1,39"
653,CPFG4,"12,26","2,95",205.492.000.000,2.867.570.000,"0,88","51,4%","29,8%","10,8%","0,86"
654,CPFG3,"12,65","3,05",205.492.000.000,2.867.570.000,"0,91","51,4%","29,8%","10,8%","0,86"
655,CPFP4,"44,00","0,00",53.096.800.000,711.776.000,"3,28",-,-,-,-
656,CORR4,"70,00","-0,31",23.153,-4.251.000,"-0,38","-280,3%","123,5%","-60,2%","20,26"
657,CPFE3,"32,03","14,97",1.152.250.000,13.649.400.000,"2,70","15,9%","18,1%","11,9%","1,09"
658,CORR3,"12,00","-0,05",23.153,-4.251.000,"-0,07","-280,3%","123,5%","-60,2%","20,26"
659,COGN3,"10,29","32,74",1.644.250.000,16.062.500.000,"1,05","12,4%","3,2%","2,7%","1,76"
660,COCE3,"50,00","11,86",77.855.000,2.988.960.000,"1,30","8,4%","11,0%","5,8%","1,08"
661,CNTO3,"27,50","0,00",210.141.000,991.151.000,"5,83",-,-,-,"1,25"
662,COCE5,"61,99","14,71",77.855.000,2.988.960.000,"1,61","8,4%","11,0%","5,8%","1,08"
663,COCE6,"35,00","8,30",77.855.000,2.988.960.000,"0,91","8,4%","11,0%","5,8%","1,08"
664,CNFB4,"5,99","9,01",406.266.000,1.552.470.000,"1,57","18,3%","17,4%","12,0%","2,20"
665,CMMA4,"0,81","0,00",0,-79.623.000,"0,00",-,"-1,9%",-,-
666,CMIG4,"12,88","5,17",1.458.750.000,17.207.300.000,"1,09","19,2%","21,1%","10,1%","1,32"
667,CMIG3,"14,55","5,84",1.458.750.000,17.207.300.000,"1,23","19,2%","21,1%","10,1%","1,32"
668,CMET4,"3,91","8,10",3.919.750.000,2.847.970.000,"5,38","53,6%","66,4%","81,4%","2,64"
669,CLSC5,"39,01","7,49",38.572.000,2.025.410.000,"0,74","4,1%","9,9%","3,4%","0,98"
670,CLSC6,"0,00","0,00",38.572.000,2.025.410.000,"0,00",-,"9,9%",-,-
671,CLSC3,"44,99","8,63",38.572.000,2.025.410.000,"0,86","4,1%","9,9%","3,4%","0,98"
672,CLAN4,"3,00","-44,92",158.703.000,1.012.240.000,"0,47","-18,4%","-1,0%","-0,5%","0,73"
673,CLAN3,"0,00","0,00",158.703.000,1.012.240.000,"0,00",-,"-1,0%",-,-
674,CLSC4,"38,30","7,35",38.572.000,2.025.410.000,"0,73","4,1%","9,9%","3,4%","0,98"
675,CIQU4,"12,49","6,63",24.948.000,296.175.000,"1,05","9,7%","15,9%","12,7%","1,36"
676,CIQU3,"12,49","6,63",24.948.000,296.175.000,"1,05","9,7%","15,9%","12,7%","1,36"
677,CIEL3,"7,89","10,40",2.716.820.000,9.297.950.000,"2,31","32,1%","22,2%","16,9%","1,09"
678,CGRA4,"25,00","9,27",20.101.000,530.643.000,"0,95","9,1%","10,2%","6,5%","2,74"
679,CGRA3,"25,10","9,31",20.101.000,530.643.000,"0,95","9,1%","10,2%","6,5%","2,74"
680,CGOS4,"16,00","-0,00",32.780.000,453.387.000,"0,00","-0,2%","-39,0%","-0,1%","0,54"
681,CGOS3,"26,20","-4,85",32.780.000,453.387.000,"1,89","-0,2%","-39,0%","-0,1%","0,54"
682,CGAS3,"92,00","6,56",132.521.000,3.722.810.000,"3,27","21,0%","49,9%","27,2%","1,66"
683,CGAS5,"99,80","7,11",132.521.000,3.722.810.000,"3,55","21,0%","49,9%","27,2%","1,66"
684,CESP5,"29,30","-86,57",327.503.000,6.940.700.000,"1,38","4,5%","-1,6%","0,6%","2,18"
685,CESP6,"29,37","-86,77",327.503.000,6.940.700.000,"1,39","4,5%","-1,6%","0,6%","2,18"
686,CFLU4,"1.000,00","0,00",0,60.351.000,"0,00","8,9%","32,2%","17,7%","1,10"
687,CESP4,"16,29","-0,05",327.503.000,6.940.700.000,"0,00","4,5%","-1,6%","0,6%","2,18"
688,CEPE6,"19,20","14,51",74.612.000,1.618.100.000,"0,89","10,3%","6,1%","6,6%","1,09"
689,CESP3,"27,70","-81,84",327.503.000,6.940.700.000,"1,31","4,5%","-1,6%","0,6%","2,18"
690,CEPE5,"22,65","17,12",74.612.000,1.618.100.000,"1,04","10,3%","6,1%","6,6%","1,09"
691,CELP7,"6,23","24,99",2.209.070.000,3.280.990.000,"4,19","21,6%","16,8%","14,9%","2,20"
692,CELP5,"6,85","27,48",2.209.070.000,3.280.990.000,"4,61","21,6%","16,8%","14,9%","2,20"
693,CEPE3,"24,53","18,54",74.612.000,1.618.100.000,"1,13","10,3%","6,1%","6,6%","1,09"
694,CELM3,"15,00","-0,67",116.000,-11.104.000,"-0,16","-25,1%","23,4%","-15,6%","0,44"
695,CEGR3,"47,03","67,77",259.638.000,1.267.850.000,"9,63","9,7%","14,2%","15,4%","0,77"
696,CEED4,"100,00","-0,85",9.681.000,-3.352.110.000,"-0,29","-16,0%","33,9%","-17,3%","0,24"
697,CEED3,"100,00","-0,85",9.681.000,-3.352.110.000,"-0,29","-16,0%","33,9%","-17,3%","0,24"
698,CEEB5,"36,08","13,41",262.096.000,5.021.360.000,"1,88","16,2%","14,0%","7,1%","1,21"
699,CEDO4,"8,49","1,65",10.000.000,185.246.000,"0,46","-3,0%","27,8%","-3,1%","0,95"
700,CEEB3,"38,50","14,31",262.096.000,5.021.360.000,"2,01","16,2%","14,0%","7,1%","1,21"
701,CEDO3,"8,31","1,61",10.000.000,185.246.000,"0,45","-3,0%","27,8%","-3,1%","0,95"
702,CEBR6,"48,84","6,55",14.416.000,391.531.000,"1,80","4,6%","27,5%","4,2%","1,08"
703,CEBR3,"51,19","6,86",14.416.000,391.531.000,"1,88","4,6%","27,5%","4,2%","1,08"
704,CEBR5,"53,00","7,11",14.416.000,391.531.000,"1,95","4,6%","27,5%","4,2%","1,08"
705,CEAB3,"0,00","0,00",308.245.000,0,"0,00",-,-,-,-
706,CCXC3,"2,10","-0,86",1.701.000,-52.699.000,"-0,07",-,"7,9%",-,-
707,CCTU4,"37,28","7,65",2.046.000,82.550.000,"0,92","2,1%","12,1%","3,0%","1,48"
708,CCRO3,"17,50","47,86",2.020.000.000,8.742.880.000,"4,04","32,1%","8,4%","12,0%","1,06"
709,CCIM3,"5,52","-16,44",113.000.000,660.347.000,"0,94","5,6%","-5,7%","2,4%","2,58"
710,CCPR3,"20,20","-169,70",159.664.000,1.040.750.000,"3,10","52,4%","-1,8%","7,3%","1,40"
711,CCHI4,"0,02","0,00",78.000.000,-160.477.000,"-0,01",-,-,-,-
712,CCHI3,"0,02","0,00",78.000.000,-160.477.000,"-0,01",-,-,-,-
713,CBMA4,"0,01","-0,00",102.585.000,-10.534.100.000,"-0,00",-,"11,6%",-,-
714,CBMA3,"0,01","-0,00",102.585.000,-10.534.100.000,"-0,00",-,"11,6%",-,-
715,CBEE3,"19,00","12,09",166.634.000,3.665.090.000,"0,86","10,4%","7,1%","6,4%","0,89"
716,CASN3,"18,00","-346,93",715.094.000,1.306.800.000,"9,85","4,1%","-2,8%","1,4%","1,88"
717,CARD3,"7,72","12,21",41.800.000,251.518.000,"1,28","7,9%","10,5%","8,1%","0,97"
718,CAML3,"6,80","7,69",385.473.000,2.258.460.000,"1,16","5,0%","15,1%","6,3%","2,02"
719,CAMB4,"5,80","14,79",41.980.000,70.840.000,"3,44","9,9%","23,2%","9,9%","1,09"
720,CAMB3,"0,00","0,00",41.980.000,70.840.000,"0,00","9,9%","23,2%","9,9%","1,09"
721,CALI3,"98,18","-3,45",372.000,9.116.000,"4,01","-339,2%","-116,1%","-64,8%","1,83"
722,CAFE4,"0,50","0,00",2.184.540.000,-377.387.000,"-0,00","-53,1%","-64,2%","-2,8%","0,02"
723,CALI4,"50,08","-1,76",372.000,9.116.000,"2,04","-339,2%","-116,1%","-64,8%","1,83"
724,BUET4,"18,49","-4,04",4.845.000,-124.674.000,"-0,72","-14,9%","17,8%","-6,0%","0,11"
725,CAFE3,"2,00","0,02",2.184.540.000,-377.387.000,"-0,01","-53,1%","-64,2%","-2,8%","0,02"
726,BUET3,"24,99","-5,46",4.845.000,-124.674.000,"-0,97","-14,9%","17,8%","-6,0%","0,11"
727,BTTL4,"3,30","-9,02",14.861.000,4.832.000,"10,15","2,1%","-112,5%","10,4%","1,11"
728,BTTL3,"5,20","-14,22",14.861.000,4.832.000,"15,99","2,1%","-112,5%","10,4%","1,11"
729,BSLI4,"46,01","5,15",36.305.000,1.544.670.000,"1,08",-,"21,0%",-,-
730,BTOW3,"54,21","-64,86",522.861.000,5.637.460.000,"5,03","0,6%","-7,8%","0,6%","2,47"
731,BSLI3,"42,50","4,75",36.305.000,1.544.670.000,"1,00",-,"21,0%",-,-
732,BSEV3,"2,48","-2,51",1.020.430.000,210.580.000,"12,02","4,3%","-479,6%","2,7%","1,12"
733,BSCT6,"2,58","22,49",167.978.000,212.960.000,"2,04",-,"9,0%",-,-
734,BSGR3,"1.091,28","0,00",0,0,"0,00",-,-,-,-
735,BSCT5,"3,50","30,51",167.978.000,212.960.000,"2,76",-,"9,0%",-,-
736,BSCT3,"4,05","0,04",167.978.000,212.960.000,"0,00",-,"9,0%",-,-
737,BRTP4,"20,81","-39,19",363.969.000,5.302.340.000,"1,43","19,4%","-3,6%","13,4%","1,29"
738,BRTP3,"35,71","-67,26",363.969.000,5.302.340.000,"2,45","19,4%","-3,6%","13,4%","1,29"
739,BRSR6,"20,69","7,05",408.974.000,7.732.900.000,"1,09",-,"15,5%",-,-
740,BRSR5,"23,30","7,94",408.974.000,7.732.900.000,"1,23",-,"15,5%",-,-
741,BRSR4,"181,10","0,06",408.974.000,7.732.900.000,"0,01",-,"15,5%",-,-
742,BRSR3,"22,70","7,74",408.974.000,7.732.900.000,"1,20",-,"15,5%",-,-
743,BRPR3,"12,90","134,95",407.135.000,5.791.030.000,"0,91","72,2%","0,7%","3,2%","2,12"
744,BRML3,"15,78","12,07",872.728.000,10.629.400.000,"1,30","71,7%","10,7%","3,9%","2,07"
745,BRKM6,"24,99","41,47",797.219.000,7.263.760.000,"2,74","5,8%","6,6%","6,4%","0,77"
746,BRKM5,"28,81","47,81",797.219.000,7.263.760.000,"3,16","5,8%","6,6%","6,4%","0,77"
747,BRKM3,"30,49","50,60",797.219.000,7.263.760.000,"3,35","5,8%","6,6%","6,4%","0,77"
748,BRIV4,"8,11","11,06",88.601.000,1.478.470.000,"0,49",-,"4,4%",-,-
749,BRIV3,"8,77","11,96",88.601.000,1.478.470.000,"0,53",-,"4,4%",-,-
750,BRGE8,"6,90","10,21",73.646.000,1.181.120.000,"0,43","-1.501,8%","4,2%","-26,9%","1,41"
751,BRGE7,"5,40","7,99",73.646.000,1.181.120.000,"0,34","-1.501,8%","4,2%","-26,9%","1,41"
752,BRGE6,"11,10","16,43",73.646.000,1.181.120.000,"0,69","-1.501,8%","4,2%","-26,9%","1,41"
753,BRGE5,"8,01","11,86",73.646.000,1.181.120.000,"0,50","-1.501,8%","4,2%","-26,9%","1,41"
754,BRGE3,"7,25","10,73",73.646.000,1.181.120.000,"0,45","-1.501,8%","4,2%","-26,9%","1,41"
755,BRGE11,"6,25","9,25",73.646.000,1.181.120.000,"0,39","-1.501,8%","4,2%","-26,9%","1,41"
756,BRGE12,"4,81","7,12",73.646.000,1.181.120.000,"0,30","-1.501,8%","4,2%","-26,9%","1,41"
757,BRDT3,"27,63","8,65",1.165.000.000,9.602.000.000,"3,35","2,2%","38,7%","10,1%","1,46"
758,BRFS3,"32,96","-11,52",812.473.000,7.149.920.000,"3,75","6,8%","-32,5%","6,6%","1,25"
759,BRAP4,"32,16","5,73",348.034.000,10.204.600.000,"1,10",-,"19,2%",-,-
760,BRAP3,"28,98","5,16",348.034.000,10.204.600.000,"0,99",-,"19,2%",-,-
761,BPNM3,"0,00","0,00",1.141.810.000,4.830.820.000,"0,00",-,"8,7%",-,-
762,BPIA3,"6,10","5,64",13.488.000,77.395.000,"1,06",-,"18,8%",-,-
763,BPHA3,"0,62","0,06",113.081.000,-292.294.000,"-0,24","-2.581,7%","-402,5%","401,0%","0,06"
764,BPAT33,"20,00","0,00",719.145.000,876.492.000,"0,82",-,-,-,-
765,BPAN4,"8,82","23,86",1.141.810.000,4.830.820.000,"2,08",-,"8,7%",-,-
766,BPAR3,"182,07","5,23",9.522.000,1.366.870.000,"1,27",-,"24,2%",-,-
767,BPAC5,"21,00","17,98",2.637.240.000,20.766.600.000,"2,67",-,"14,8%",-,-
768,BOVH3,"15,71","0,00",722.888.000,1.843.320.000,"6,16",-,-,-,"4,40"
769,BPAC11,"67,10","19,15",2.637.240.000,20.766.600.000,"2,84",-,"14,8%",-,-
770,BPAC3,"25,98","22,25",2.637.240.000,20.766.600.000,"3,30",-,"14,8%",-,-
771,BOBR4,"1,72","-6,39",268.416.000,-279.734.000,"-1,65","6,3%","25,8%","14,8%","0,54"
772,BOBR3,"0,00","0,00",268.416.000,-279.734.000,"0,00","6,3%","25,8%","14,8%","0,54"
773,BNCA3,"70,30","-90,30",107.036.000,3.068.150.000,"2,45",-,"-2,7%",-,-
774,BNBR4,"27,01","1,67",86.371.000,5.075.040.000,"0,46",-,"27,4%",-,-
775,BMEF3,"11,00","0,00",1.010.790.000,2.674.780.000,"4,16",-,-,-,"3,70"
776,BMTO3,"7,82","17,84",286.444.000,1.046.320.000,"2,14",-,"12,0%",-,-
777,BMIN4,"18,30","43,07",4.825.000,120.283.000,"0,73",-,"1,7%",-,-
778,BMKS3,"249,00","28,09",454.750,188.600.000,"0,60","-34,0%","2,1%","-8,8%","26,48"
779,BMIN3,"16,60","39,07",4.825.000,120.283.000,"0,67",-,"1,7%",-,-
780,BMGB11,"45,00","0,00",500.007.000,2.732.880.000,"2,06",-,-,-,-
781,BMEB4,"11,80","6,57",52.416.000,878.333.000,"0,70",-,"10,7%",-,-
782,BIDI4,"14,90","136,70",702.805.000,2.188.220.000,"4,79",-,"3,5%",-,-
783,BISA3,"1,58","-1,77",1.339.600.000,1.788.370.000,"1,18","-42,0%","-66,9%","-8,5%","2,22"
784,BIOM4,"8,68","-7,52",47.840.000,65.021.000,"6,39","-842,0%","-84,9%","-19,4%","1,77"
785,BMEB3,"12,20","6,79",52.416.000,878.333.000,"0,73",-,"10,7%",-,-
786,BKBR3,"17,15","42,72",228.105.000,1.755.120.000,"2,23","4,3%","5,2%","4,7%","0,91"
787,BNBR3,"79,90","4,95",86.371.000,5.075.040.000,"1,36",-,"27,4%",-,-
788,BIDI3,"14,98","137,43",702.805.000,2.188.220.000,"4,81",-,"3,5%",-,-
789,BMTO4,"7,57","17,27",286.444.000,1.046.320.000,"2,07",-,"12,0%",-,-
790,BIDI11,"45,30","138,53",702.805.000,2.188.220.000,"4,85",-,"3,5%",-,-
791,BIOM3,"9,86","-8,54",47.840.000,65.021.000,"7,25","-842,0%","-84,9%","-19,4%","1,77"
792,BICB4,"8,25","-2,43",252.904.000,944.626.000,"2,21",-,"-91,0%",-,-
793,BICB3,"8,00","-2,35",252.904.000,944.626.000,"2,14",-,"-91,0%",-,-
794,BHGR3,"19,10","-272,16",62.141.400,1.077.600.000,"1,10","15,2%","-0,4%","3,9%","0,96"
795,BGIP3,"55,00","11,69",15.285.000,380.893.000,"2,21",-,"18,9%",-,-
796,BGIP4,"38,36","8,15",15.285.000,380.893.000,"1,54",-,"18,9%",-,-
797,BFIT3,"0,98","18,49",3.890.550.000,1.849.420.000,"2,06",-,"11,1%",-,-
798,BESP3,"330,00","10,38",38.747.800.000,5.183.100.000,"2,47",-,"23,8%",-,-
799,BESP4,"344,00","10,82",38.747.800.000,5.183.100.000,"2,57",-,"23,8%",-,-
800,BEMA3,"10,80","15,32",51.568.000,457.342.000,"1,22","9,0%","7,9%","7,0%","2,66"
801,BERG3,"33,00","0,00",0,9.538.000,"0,00","-8,6%","-102,7%","-5,6%","0,46"
802,BELG3,"1.375,50","0,36",650.993.000,13.495.400.000,"0,07","27,7%","18,6%","22,0%","1,97"
803,BELG4,"1.370,00","0,36",650.993.000,13.495.400.000,"0,07","27,7%","18,6%","22,0%","1,97"
804,BFIT4,"0,93","17,55",3.890.550.000,1.849.420.000,"1,96",-,"11,1%",-,-
805,BEES3,"5,69","8,48",315.913.000,1.568.220.000,"1,15",-,"13,5%",-,-
806,BEES4,"5,80","8,65",315.913.000,1.568.220.000,"1,17",-,"13,5%",-,-
807,BEEF3,"11,90","-14,08",378.139.000,-767.223.000,"-5,87","7,6%","41,6%","17,4%","1,52"
808,BECE4,"8,75","-3,29",92.469.000,96.496.000,"8,38",-,"-255,2%",-,-
809,BDLL4,"6,28","-0,11",1.600.000,82.368.000,"0,12","-65,0%","-107,6%","-6,6%","0,69"
810,BECE3,"9,10","-3,42",92.469.000,96.496.000,"8,72",-,"-255,2%",-,-
811,BDLL3,"24,01","-0,43",1.600.000,82.368.000,"0,47","-65,0%","-107,6%","-6,6%","0,69"
812,BBTG13,"0,00","0,00",84.440.000,46.000,"0,00",-,"-20.621,7%",-,-
813,BCAL6,"0,28","-1,70",72.410.000.000,-290.863.000,"-0,07","5,0%","4,1%","39,0%","0,01"
814,BBTG12,"3,15","-28,04",84.440.000,46.000,"5.782,31",-,"-20.621,7%",-,-
815,BBRK3,"4,08","-1,90",36.278.300,187.133.000,"0,79","-5,6%","-41,7%","-2,2%","1,93"
816,BBTG11,"15,01","0,00",0,0,"0,00",-,-,-,-
817,BBDC3,"31,39","11,11",8.063.830.000,138.313.000.000,"1,83",-,"16,5%",-,-
818,BBDC4,"33,35","11,81",8.063.830.000,138.313.000.000,"1,94",-,"16,5%",-,-
819,BBSE3,"34,40","0,00",2.000.000.000,0,"0,00",-,-,-,-
820,BBAS3,"46,51","8,33",2.865.420.000,94.496.200.000,"1,41",-,"16,9%",-,-
821,BAUH4,"68,95","14,13",5.222.000,72.604.000,"4,96","8,5%","35,1%","24,8%","1,86"
